time,X,Y,Z,vX,vY,vZ,aX,aY,aZ
17.2988,56.8129,-97.3912,1252.48,6.58201,-11.2935,144.805,0.316143,-0.651445,8.26042
17.3523,57.1653,-97.9959,1260.23,6.60326,-11.3295,145.251,0.397573,-0.673001,8.33706
17.4318,57.6913,-98.8984,1271.8,6.63391,-11.3841,145.922,0.385598,-0.687371,8.43765
17.5002,58.1465,-99.6794,1281.81,6.66261,-11.4251,146.498,0.419128,-0.598755,8.42089
17.5689,58.6051,-100.466,1291.89,6.69188,-11.4711,147.071,0.426313,-0.670605,8.33467
17.6377,59.0665,-101.257,1302.03,6.72171,-11.5194,147.646,0.433499,-0.701741,8.35862
17.7018,59.4977,-101.996,1311.5,6.74364,-11.5613,148.183,0.342488,-0.65384,8.39215
17.7704,59.9616,-102.791,1321.69,6.77176,-11.6078,148.759,0.409548,-0.677791,8.38736
17.8391,60.4279,-103.59,1331.94,6.79743,-11.6518,149.336,0.373623,-0.63947,8.40173
17.9079,60.896,-104.392,1342.22,6.82821,-11.6955,149.915,0.447869,-0.637075,8.41849
